,Year,Country 1,Country 2,No. of Collaborations,No. of Publications of Country 1,No. of Publications of Country 2,Collaborators,Total No. of Publications,Continent of Country 1,Continent of Country 2,Percent of Total Publications of Country 1,Percent of Total Publications of Country 2,Rank of Country 1,Rank of Country 2
8895,2001,USA,Slovenia,2.0,260.0,5.0,USA & Slovenia,1488.0,North America,Europe,17.4731182796,0.336021505376,1/133,40/133
8907,2001,USA,Australia,4.0,260.0,14.0,USA & Australia,1488.0,North America,Oceania,17.4731182796,0.940860215054,1/133,20/133
8920,2001,Mexico,Jamaica,1.0,12.0,1.0,Mexico & Jamaica,1488.0,North America,North America,0.806451612903,0.0672043010753,22/133,56/133
8933,2001,Mexico,Algeria,1.0,12.0,3.0,Mexico & Algeria,1488.0,North America,Africa,0.806451612903,0.201612903226,22/133,43/133
9092,2001,Canada,Russia,3.0,36.0,85.0,Canada & Russia,1488.0,North America,Asia,2.41935483871,5.7123655914,9/133,5/133
9093,2001,Canada,Japan,3.0,36.0,210.0,Canada & Japan,1488.0,North America,Asia,2.41935483871,14.1129032258,9/133,2/133
9100,2001,Canada,Korea,1.0,36.0,35.0,Canada & Korea,1488.0,North America,Asia,2.41935483871,2.35215053763,9/133,10/133
9114,2001,Canada,Israel,2.0,36.0,7.0,Canada & Israel,1488.0,North America,Asia,2.41935483871,0.470430107527,9/133,33/133
9124,2001,Canada,Germany,8.0,36.0,178.0,Canada & Germany,1488.0,North America,Europe,2.41935483871,11.9623655914,9/133,3/133
9125,2001,Canada,France,3.0,36.0,103.0,Canada & France,1488.0,North America,Europe,2.41935483871,6.92204301075,9/133,4/133
9127,2001,Canada,Italy,4.0,36.0,62.0,Canada & Italy,1488.0,North America,Europe,2.41935483871,4.16666666667,9/133,6/133
9129,2001,Canada,Spain,2.0,36.0,33.0,Canada & Spain,1488.0,North America,Europe,2.41935483871,2.21774193548,9/133,11/133
9130,2001,Canada,Ukraine,3.0,36.0,9.0,Canada & Ukraine,1488.0,North America,Europe,2.41935483871,0.604838709677,9/133,29/133
9131,2001,Canada,Poland,2.0,36.0,20.0,Canada & Poland,1488.0,North America,Europe,2.41935483871,1.34408602151,9/133,17/133
9132,2001,Canada,Romania,2.0,36.0,14.0,Canada & Romania,1488.0,North America,Europe,2.41935483871,0.940860215054,9/133,21/133
9134,2001,Canada,Belgium,2.0,36.0,28.0,Canada & Belgium,1488.0,North America,Europe,2.41935483871,1.88172043011,9/133,13/133
9135,2001,Canada,Greece,2.0,36.0,9.0,Canada & Greece,1488.0,North America,Europe,2.41935483871,0.604838709677,9/133,31/133
9136,2001,Canada,Czech,2.0,36.0,11.0,Canada & Czech,1488.0,North America,Europe,2.41935483871,0.739247311828,9/133,25/133
9139,2001,Canada,Sweden,2.0,36.0,32.0,Canada & Sweden,1488.0,North America,Europe,2.41935483871,2.15053763441,9/133,12/133
9142,2001,Canada,Switzerland,3.0,36.0,36.0,Canada & Switzerland,1488.0,North America,Europe,2.41935483871,2.41935483871,9/133,8/133
9146,2001,Canada,Finland,2.0,36.0,10.0,Canada & Finland,1488.0,North America,Europe,2.41935483871,0.672043010753,9/133,26/133
9147,2001,Canada,Norway,2.0,36.0,7.0,Canada & Norway,1488.0,North America,Europe,2.41935483871,0.470430107527,9/133,32/133
9156,2001,Canada,Slovenia,2.0,36.0,5.0,Canada & Slovenia,1488.0,North America,Europe,2.41935483871,0.336021505376,9/133,40/133
9309,2001,Cuba,Brazil,1.0,2.0,21.0,Cuba & Brazil,1488.0,North America,South America,0.134408602151,1.41129032258,45/133,16/133
10606,2001,Brazil,Germany,1.0,21.0,178.0,Brazil & Germany,1488.0,South America,Europe,1.41129032258,11.9623655914,16/133,3/133
10607,2001,Brazil,France,1.0,21.0,103.0,Brazil & France,1488.0,South America,Europe,1.41129032258,6.92204301075,16/133,4/133
